actor,actor_type,mentions,unique_stories,weighted_mentions,estimated_reach,avg_stance,stance_strength,avg_sentiment,cluster_spread,top_cluster,top_frame,sample_headline,sample_link,mentions_s,unique_stories_s,weighted_mentions_s,estimated_reach_s,cluster_spread_s,share_of_voice,stance_label,impact_score,narrative_role,debate_position
Irish Neutrality League,Civil society / NGO,28,5,22.090817858133832,3018754,-0.8642857142857142,0.8642857142857142,0.20892857142857144,3,Defence capability and security gaps,Other Neutrality Debate,"Fuel demonstrations prove protests ‘effective’, say neutrality campaigners",https://echolive.ie/nationalnews/arid-41828123.html,0.06569343065693431,0.01809954751131222,0.06670953721699034,0.05583932634564089,0.20000000000000004,0.006144354459174404,Strong preserve,17.7,Neutrality defender / challenger,Strong preserve
Shannonwatch,Civil society / NGO,2,2,1.5282462750933008,120537,-0.8285,0.8285,0.325,2,Defence capability and security gaps,Other Neutrality Debate,91 year old lady walking to Dáíl welcomes Laois supporters,https://www.leinsterexpress.ie/news/newsletter-laois-live/2053521/91-year-old-lady-walking-to-dail-welcomes-laois-supporters.html,0.0024330900243309003,0.004524886877828055,0.0032651456451042527,0.0022296301320758553,0.1,0.0004250674137729477,Strong preserve,12.4,Neutrality defender / challenger,Strong preserve
Lelia Doolan,Person,44,23,33.63255288105491,6743375,-0.8266590909090908,0.8266590909090908,0.14886363636363636,5,Shannon Airport and US military use,Shannon / US Military / Anti-war,Neutrality campaigner (91) in Nenagh | Nenagh Guardian,https://www.nenaghguardian.ie/2026/04/27/neutrality-campaigner-91-in-nenagh,0.10462287104622872,0.0995475113122172,0.10232076187612316,0.12473540980683956,0.4,0.009354580151591813,Strong preserve,24.3,Defender of neutrality,Strong preserve
Shannon Airport,Institution / issue actor,95,50,74.80992306426675,13754557,-0.8215578947368422,0.8215578947368419,0.17473684210526316,7,Shannon Airport and US military use,Shannon / US Military / Anti-war,Neutrality campaigner (91) in Nenagh | Nenagh Guardian,https://www.nenaghguardian.ie/2026/04/27/neutrality-campaigner-91-in-nenagh,0.22871046228710462,0.22171945701357468,0.22937068786684398,0.2544245728743446,0.6000000000000001,0.020807680698936883,Strong preserve,36.2,Issue symbol / mobilising frame,Strong preserve
US military,Institution / issue actor,76,51,60.47646186753913,11632808,-0.7453026315789474,0.7453026315789473,0.19342105263157897,8,Shannon Airport and US military use,Shannon / US Military / Anti-war,Letters to the Editor: Neutralising Ireland’s neutrality,https://irishexaminer.com/opinion/yourview/arid-41838741.html,0.18248175182481752,0.22624434389140272,0.18514578530185286,0.21517757400178422,0.7000000000000001,0.01682096247125074,Strong preserve,34.5,Issue symbol / mobilising frame,Strong preserve
UN Security Council,International body,92,40,71.51533021224189,8958101,-0.7339782608695652,0.7448478260869567,0.052717391304347834,7,Referendum and constitutional protection,Other Neutrality Debate,"Ireland must retain triple lock to protect peacekeeping role, says former PDForra chief",https://irishexaminer.com/news/arid-41837093.html,0.22141119221411193,0.17647058823529413,0.21920544962659394,0.16570224840321934,0.6000000000000001,0.019891320498445275,Strong preserve,32.0,Institutional legitimacy anchor,Strong preserve
People Before Profit,Political party,46,22,36.31797087575553,6154296,-0.6727391304347826,0.6727391304347826,0.16304347826086957,7,Defence capability and security gaps,Other Neutrality Debate,Galway Bay FM - Neutrality,https://irishtimes.com/ireland/2026/04/18/hundreds-demonstrate-in-dublin-to-demand-irelands-neutrality-be-protected,0.10948905109489052,0.09502262443438915,0.11060643325248425,0.11383893578995584,0.6000000000000001,0.010101504060722254,Strong preserve,25.0,Neutrality defender / challenger,Strong preserve
Quakers,Civil society / NGO,1,1,0.7842819732227284,62560,-0.667,0.667,0.0,1,Triple Lock and UN mandate debate,Other Neutrality Debate,Public meeting on neutrality in Galway,https://connachttribune.ie/news/public-meeting-on-neutrality-in-galway-8114409,0.0,0.0,0.0009696952782682745,0.0011572020297723148,0.0,0.0002181406985638991,Strong preserve,8.7,Neutrality defender / challenger,Strong preserve
EU,International body,43,21,35.055900004740046,6130455,-0.5974418604651163,0.677674418604651,0.00813953488372093,2,Referendum and constitutional protection,Other Neutrality Debate,Proposal to increase EU tariffs on goods from Israeli settlements,https://irishtimes.com/world/europe/2026/04/20/proposal-to-increase-eu-tariffs-on-goods-from-israeli-settlements,0.10218978102189781,0.0904977375565611,0.10671240092249017,0.11339793749085415,0.1,0.009750470847107538,Strong preserve,17.8,Alignment reference point,Strong preserve
Mary Lou McDonald,Person,92,35,69.24780918506873,9048899,-0.5721847826086957,0.5975543478260871,-0.009782608695652175,8,Sinn Féin and government neutrality clash,Other Neutrality Debate,Cork's 96 FM - Neutrality,https://www.shannonside.ie/news/sinn-fein-leader-claims-parties-are-trying-to-dismantle-irish-neutrality-287669,0.22141119221411193,0.15384615384615385,0.212209170422678,0.16738178212923063,0.7000000000000001,0.01926063072389475,Strong preserve,30.9,Neutrality defender / challenger,Strong preserve
Fine Gael,Political party,65,45,48.65872572657223,6769052,-0.537923076923077,0.5892153846153846,-0.07384615384615385,10,Sinn Féin and government neutrality clash,Other Neutrality Debate,Classic Hits 4FM - Neutrality,https://www.shannonside.ie/news/sinn-fein-leader-claims-parties-are-trying-to-dismantle-irish-neutrality-287669,0.15571776155717762,0.1990950226244344,0.14868297829384597,0.12521036946985847,0.9,0.01353396964819595,Strong preserve,31.6,Defender of neutrality,Strong preserve
Sinn Féin,Political party,161,75,124.10664807118415,16821205,-0.5097204968944099,0.5180062111801242,-0.02360248447204969,9,Sinn Féin and government neutrality clash,Other Neutrality Debate,Nolan’s Peelers series is both a harrowing insight into the problems facing NI and a damning reflection on Stormont’s failures,https://irishtimes.com/culture/books/review/2026/04/20/crime-fiction-anne-cadwallader-blends-politics-violence-law-and-media-in-gripping-debut,0.38929440389294406,0.33484162895927605,0.3814723212603063,0.3111498172828678,0.8,0.03451910388227642,Strong preserve,43.2,Neutrality defender / challenger,Strong preserve
Dáil,State / government,185,92,144.25052581222567,20815100,-0.5031621621621623,0.6370864864864865,0.04432432432432432,10,Defence capability and security gaps,Other Neutrality Debate,Letters to the Editor: Neutralising Ireland’s neutrality,https://irishexaminer.com/opinion/yourview/arid-41838741.html,0.44768856447688565,0.411764705882353,0.4436248619587135,0.38502678980041094,0.9,0.04012193514991371,Strong preserve,51.3,Defender of neutrality,Strong preserve
Fianna Fáil,Political party,77,53,60.33480642808715,9361209,-0.473,0.528974025974026,-0.020129870129870133,10,Sinn Féin and government neutrality clash,Other Neutrality Debate,Kathy Sheridan: Our neutrality won’t shield us from skyrocketing fuel prices,https://irishtimes.com/opinion/2026/05/06/kathy-sheridan-irish-neutrality-fuel-prices-ukraine-war-refugees,0.18491484184914841,0.23529411764705882,0.18470871724679055,0.173158728515391,0.9,0.01678156233511035,Strong preserve,33.7,Defender of neutrality,Strong preserve
Defence Forces,State / government,133,64,106.43152870893108,14266319,-0.4224887218045113,0.6320075187969925,0.0368421052631579,7,Defence capability and security gaps,Other Neutrality Debate,"Ireland must retain triple lock to protect peacekeeping role, says former PDForra chief",https://irishexaminer.com/news/arid-41837093.html,0.32116788321167883,0.28506787330316746,0.326936963687448,0.26389087762435004,0.6000000000000001,0.02960293467716425,Lean preserve,38.2,Amplifier / recurring participant,Lean preserve
Government,State / government,412,222,324.573850215696,54061433,-0.28322815533980583,0.4778398058252427,0.03337378640776699,11,Ukraine war and moral neutrality,Other Neutrality Debate,Kathy Sheridan: Our neutrality won’t shield us from skyrocketing fuel prices,https://irishtimes.com/opinion/2026/05/06/kathy-sheridan-irish-neutrality-fuel-prices-ukraine-war-refugees,1.0,1.0,1.0,1.0,1.0,0.09027718198173985,Lean preserve,93.2,Government responder / reframer,Lean preserve
Micheál Martin,Person,155,73,121.42710648564784,18532056,-0.1630451612903226,0.5459999999999999,-0.01032258064516129,11,General neutrality debate,Defence Capability / Underinvestment,Kathy Sheridan: Our neutrality won’t shield us from skyrocketing fuel prices,https://irishtimes.com/opinion/2026/05/06/kathy-sheridan-irish-neutrality-fuel-prices-ukraine-war-refugees,0.3746958637469586,0.32579185520362,0.3732047811377405,0.342796240713782,1.0,0.03377381444141621,Lean preserve,46.7,Government responder / reframer,Lean preserve
NATO,International body,82,68,68.7100563152801,16333958,-0.01019512195121951,0.29536585365853657,0.04085365853658537,9,Ukraine war and moral neutrality,Other Neutrality Debate,"Colm McCarthy: Amid uncertainty, prudent progress is needed",http://farmersjournal.ie/viewpoints/viewpoints/colm-mccarthy-amid-uncertainty-prudent-progress-is-needed-914238,0.19708029197080293,0.30316742081447967,0.21054997115852006,0.302136978130047,0.8,0.019111059790639193,Mixed / unclear,34.4,Alignment reference point,Mixed / unclear
Helen McEntee,Person,73,31,55.092313340574705,6181481,0.020561643835616428,0.5183424657534247,-0.004109589041095891,7,General neutrality debate,Defence Capability / Underinvestment,Dorcha Lee: Security will be the big challenge for Ireland's EU presidency,https://irishexaminer.com/opinion/commentanalysis/arid-41823866.html,0.17518248175182483,0.13574660633484162,0.1685333676357832,0.11434178964512465,0.6000000000000001,0.015323411895126175,Mixed / unclear,25.5,Government responder / reframer,Mixed / unclear
Russia,State / geopolitical actor,129,74,102.56583129112244,15157251,0.0352015503875969,0.3781782945736434,-0.022480620155038763,8,Ukraine war and moral neutrality,Ukraine / Russia / Moral Responsibility,Kathy Sheridan: Our neutrality won’t shield us from skyrocketing fuel prices,https://irishtimes.com/opinion/2026/05/06/kathy-sheridan-irish-neutrality-fuel-prices-ukraine-war-refugees,0.31143552311435524,0.330316742081448,0.3150096218331752,0.2803708699323601,0.7000000000000001,0.028527727080982564,Mixed / unclear,37.2,Geopolitical reference point,Mixed / unclear
Ukraine,State / geopolitical actor,116,86,96.06529603201608,18862466,0.041379310344827586,0.2904655172413793,0.008189655172413794,7,Ukraine war and moral neutrality,Ukraine / Russia / Moral Responsibility,Kathy Sheridan: Our neutrality won’t shield us from skyrocketing fuel prices,https://irishtimes.com/opinion/2026/05/06/kathy-sheridan-irish-neutrality-fuel-prices-ukraine-war-refugees,0.2798053527980535,0.3846153846153847,0.2949526701654299,0.34890799139564055,0.6000000000000001,0.026719663972463288,Mixed / unclear,36.7,Geopolitical reference point,Mixed / unclear
Volodymyr Zelenskiy,Person,21,14,17.162465367383344,2763038,0.5842380952380952,0.6658571428571427,-0.3119047619047619,4,Defence capability and security gaps,Defence Capability / Underinvestment,Kathy Sheridan: Our neutrality won’t shield us from skyrocketing fuel prices,https://irishtimes.com/opinion/2026/05/06/kathy-sheridan-irish-neutrality-fuel-prices-ukraine-war-refugees,0.04866180048661801,0.05882352941176472,0.0515034466769656,0.05110922605399675,0.30000000000000004,0.004773579289264776,Move away / align,16.8,Geopolitical reference point,Move away / align
