publication_week,frame,mentions,weighted_mentions,estimated_reach,avg_stance
2011-09-05/2011-09-11,Other Neutrality Debate,1,0.766,105454,0.0
2024-02-05/2024-02-11,Ukraine / Russia / Moral Responsibility,1,0.816,54859,0.5
2024-07-29/2024-08-04,Ukraine / Russia / Moral Responsibility,1,0.742,54332,0.0
2024-08-05/2024-08-11,Other Neutrality Debate,1,0.939,409767,0.0
2024-08-19/2024-08-25,Ukraine / Russia / Moral Responsibility,1,0.744,57886,0.0
2025-02-10/2025-02-16,Other Neutrality Debate,1,0.976,409767,-0.8
2025-02-17/2025-02-23,Ukraine / Russia / Moral Responsibility,1,0.94,422995,0.0
2025-03-31/2025-04-06,Public Consent / Referendum,1,0.747,63038,-0.75
2025-04-21/2025-04-27,Other Neutrality Debate,1,0.743,56491,0.5
2025-06-23/2025-06-29,Other Neutrality Debate,1,0.627,14950,0.0
2025-09-22/2025-09-28,Other Neutrality Debate,1,0.741,54139,0.0
2025-10-27/2025-11-02,Peacekeeping / Identity / Tradition,1,0.743,56491,0.0
2025-11-10/2025-11-16,Other Neutrality Debate,1,0.235,0,0.0
2025-12-08/2025-12-14,Ukraine / Russia / Moral Responsibility,1,0.939,416371,0.0
2025-12-15/2025-12-21,Budget / Fiscal / Public Finances,1,0.819,59435,0.0
2025-12-22/2025-12-28,Ukraine / Russia / Moral Responsibility,2,1.848,434145,0.0
2025-12-29/2026-01-04,Budget / Fiscal / Public Finances,1,0.939,416834,0.0
2025-12-29/2026-01-04,Ukraine / Russia / Moral Responsibility,1,0.977,416834,0.0
2026-01-12/2026-01-18,Budget / Fiscal / Public Finances,1,0.258,0,0.0
2026-01-12/2026-01-18,Defence Capability / Underinvestment,1,0.235,0,0.0
2026-01-12/2026-01-18,NATO / EU Security Alignment,1,0.997,61457,0.75
2026-01-12/2026-01-18,Other Neutrality Debate,4,2.501,565000,-0.125
2026-01-12/2026-01-18,Shannon / US Military / Anti-war,1,0.82,60857,-0.875
2026-01-12/2026-01-18,Triple Lock / UN Mandate,1,0.785,62971,-0.5
2026-01-12/2026-01-18,Ukraine / Russia / Moral Responsibility,2,1.841,561901,0.334
2026-01-19/2026-01-25,Defence Capability / Underinvestment,13,9.833,852878,0.825
2026-01-19/2026-01-25,Other Neutrality Debate,9,7.978,2569486,0.009
2026-01-19/2026-01-25,Shannon / US Military / Anti-war,1,0.862,60857,-0.96
2026-01-19/2026-01-25,Triple Lock / UN Mandate,1,0.747,63283,-0.75
2026-01-19/2026-01-25,Ukraine / Russia / Moral Responsibility,10,8.284,911719,0.162
2026-01-26/2026-02-01,Defence Capability / Underinvestment,1,0.744,58499,0.0
2026-01-26/2026-02-01,Other Neutrality Debate,44,33.875,6068694,-0.365
2026-01-26/2026-02-01,Peacekeeping / Identity / Tradition,7,4.857,487129,-0.729
2026-01-26/2026-02-01,Triple Lock / UN Mandate,16,12.169,1101188,-0.664
2026-01-26/2026-02-01,Ukraine / Russia / Moral Responsibility,3,2.23,829413,-0.056
2026-02-02/2026-02-08,Other Neutrality Debate,10,8.246,2347285,0.015
2026-02-02/2026-02-08,Peacekeeping / Identity / Tradition,1,0.742,54867,-0.909
2026-02-02/2026-02-08,Shannon / US Military / Anti-war,2,1.686,482673,-0.686
2026-02-02/2026-02-08,Triple Lock / UN Mandate,1,0.747,63027,-0.875
2026-02-02/2026-02-08,Ukraine / Russia / Moral Responsibility,11,9.309,1179958,-0.066
2026-02-09/2026-02-15,Other Neutrality Debate,49,37.826,6473350,-0.003
2026-02-09/2026-02-15,Peacekeeping / Identity / Tradition,1,0.741,53345,-0.386
2026-02-09/2026-02-15,Shannon / US Military / Anti-war,1,0.235,0,-0.889
2026-02-09/2026-02-15,Ukraine / Russia / Moral Responsibility,17,13.185,1739651,0.039
2026-02-16/2026-02-22,Defence Capability / Underinvestment,1,0.741,53712,0.325
2026-02-16/2026-02-22,Other Neutrality Debate,13,10.383,2202665,-0.033
2026-02-16/2026-02-22,Public Consent / Referendum,2,1.493,124844,-0.834
2026-02-16/2026-02-22,Triple Lock / UN Mandate,1,0.862,60857,-0.941
2026-02-16/2026-02-22,Ukraine / Russia / Moral Responsibility,14,11.731,1556974,0.047
2026-02-23/2026-03-01,Defence Capability / Underinvestment,1,1.032,409767,0.0
2026-02-23/2026-03-01,NATO / EU Security Alignment,1,0.979,450000,0.325
2026-02-23/2026-03-01,Other Neutrality Debate,31,24.934,6605747,-0.169
2026-02-23/2026-03-01,Peacekeeping / Identity / Tradition,1,0.749,65000,-0.8
2026-02-23/2026-03-01,Shannon / US Military / Anti-war,1,0.746,60857,-0.941
2026-02-23/2026-03-01,Ukraine / Russia / Moral Responsibility,7,5.895,782516,0.016
2026-03-02/2026-03-08,NATO / EU Security Alignment,1,0.235,0,0.0
2026-03-02/2026-03-08,Other Neutrality Debate,24,18.723,3543764,0.013
2026-03-02/2026-03-08,Peacekeeping / Identity / Tradition,1,0.743,56020,-0.5
2026-03-02/2026-03-08,Shannon / US Military / Anti-war,2,2.066,833668,-0.25
2026-03-02/2026-03-08,Triple Lock / UN Mandate,4,3.318,380000,-0.714
2026-03-02/2026-03-08,Ukraine / Russia / Moral Responsibility,13,10.214,1734533,-0.315
2026-03-09/2026-03-15,Budget / Fiscal / Public Finances,1,1.033,411301,0.0
2026-03-09/2026-03-15,Defence Capability / Underinvestment,36,25.959,2317346,0.532
2026-03-09/2026-03-15,Other Neutrality Debate,14,11.074,1528705,-0.201
2026-03-09/2026-03-15,Peacekeeping / Identity / Tradition,6,5.518,1386362,-0.444
2026-03-09/2026-03-15,Shannon / US Military / Anti-war,6,5.028,632827,-0.68
2026-03-09/2026-03-15,Ukraine / Russia / Moral Responsibility,16,12.946,2445281,-0.102
2026-03-16/2026-03-22,NATO / EU Security Alignment,1,0.935,374710,0.0
2026-03-16/2026-03-22,Other Neutrality Debate,33,26.992,6760743,-0.053
2026-03-16/2026-03-22,Shannon / US Military / Anti-war,1,0.728,237000,-0.667
2026-03-16/2026-03-22,Ukraine / Russia / Moral Responsibility,23,18.655,3408245,-0.084
2026-03-23/2026-03-29,Budget / Fiscal / Public Finances,2,1.681,446734,0.0
2026-03-23/2026-03-29,Defence Capability / Underinvestment,1,0.863,62422,0.5
2026-03-23/2026-03-29,Other Neutrality Debate,7,5.78,892613,-0.119
2026-03-23/2026-03-29,Peacekeeping / Identity / Tradition,2,1.968,791544,-0.534
2026-03-23/2026-03-29,Shannon / US Military / Anti-war,3,2.7,726950,-0.636
2026-03-23/2026-03-29,Ukraine / Russia / Moral Responsibility,7,6.585,2561702,-0.168
2026-03-30/2026-04-05,NATO / EU Security Alignment,1,0.935,374710,0.0
2026-03-30/2026-04-05,Other Neutrality Debate,13,9.923,1408361,-0.075
2026-03-30/2026-04-05,Peacekeeping / Identity / Tradition,2,1.925,545834,-0.85
2026-03-30/2026-04-05,Public Consent / Referendum,1,0.741,53719,-0.625
2026-03-30/2026-04-05,Shannon / US Military / Anti-war,4,3.284,581290,-0.8
2026-03-30/2026-04-05,Triple Lock / UN Mandate,1,1.033,411301,-0.857
2026-03-30/2026-04-05,Ukraine / Russia / Moral Responsibility,5,4.077,1577555,0.05
2026-04-06/2026-04-12,Budget / Fiscal / Public Finances,2,1.775,474486,0.334
2026-04-06/2026-04-12,Defence Capability / Underinvestment,4,3.548,934025,0.202
2026-04-06/2026-04-12,NATO / EU Security Alignment,1,1.032,409767,0.5
2026-04-06/2026-04-12,Other Neutrality Debate,46,35.382,3748956,-0.618
2026-04-06/2026-04-12,Peacekeeping / Identity / Tradition,5,4.002,631783,-0.247
2026-04-06/2026-04-12,Shannon / US Military / Anti-war,7,5.511,1433803,-0.712
2026-04-06/2026-04-12,Ukraine / Russia / Moral Responsibility,3,2.23,171341,-0.381
2026-04-13/2026-04-19,Other Neutrality Debate,68,52.863,8572892,-0.706
2026-04-13/2026-04-19,Peacekeeping / Identity / Tradition,1,0.747,62871,-0.667
2026-04-13/2026-04-19,Public Consent / Referendum,1,0.783,60904,-0.889
2026-04-13/2026-04-19,Shannon / US Military / Anti-war,36,27.24,4781460,-0.875
2026-04-13/2026-04-19,Triple Lock / UN Mandate,1,0.992,152134,0.0
2026-04-13/2026-04-19,Ukraine / Russia / Moral Responsibility,3,2.747,895125,0.0
2026-04-20/2026-04-26,Other Neutrality Debate,7,6.298,2032101,0.0
2026-04-20/2026-04-26,Triple Lock / UN Mandate,1,1.032,409767,-0.5
2026-04-20/2026-04-26,Ukraine / Russia / Moral Responsibility,2,1.989,478291,-0.125
2026-04-27/2026-05-03,Defence Capability / Underinvestment,1,0.741,53712,0.325
2026-04-27/2026-05-03,Other Neutrality Debate,6,5.008,1144000,0.0
2026-04-27/2026-05-03,Peacekeeping / Identity / Tradition,1,0.939,409767,-0.95
2026-04-27/2026-05-03,Shannon / US Military / Anti-war,1,0.78,55097,-0.833
2026-04-27/2026-05-03,Ukraine / Russia / Moral Responsibility,4,3.527,950758,0.081
2026-05-04/2026-05-10,Budget / Fiscal / Public Finances,2,2.046,671810,0.0
2026-05-04/2026-05-10,Other Neutrality Debate,3,2.314,185487,-0.445
2026-05-04/2026-05-10,Shannon / US Military / Anti-war,1,1.074,409767,-0.667
2026-05-04/2026-05-10,Triple Lock / UN Mandate,1,0.67,1500,-0.667
2026-05-04/2026-05-10,Ukraine / Russia / Moral Responsibility,1,1.074,416834,0.488
