cluster_display_name,cluster_ids,mention_count,weighted_mentions,estimated_reach,avg_stance_score,avg_sentiment,dominant_stance,dominant_frame,sample_headline
Ukraine war and moral neutrality,7,285,238.48,58197899,-0.112,0.038,Mixed / procedural / unclear,Other Neutrality Debate,"Colm McCarthy: Amid uncertainty, prudent progress is needed"
Sinn Féin and government neutrality clash,3,108,82.96,13552387,-0.345,0.01,Preserve / strengthen neutrality,Other Neutrality Debate,WLR FM - Neutrality
Defence capability and security gaps,-1,79,61.4,8454132,-0.214,-0.008,Preserve / strengthen neutrality,Other Neutrality Debate,How damaged is Micheál Martin from the fuel protests?
Referendum and constitutional protection,5,64,48.7,4366270,-0.444,0.011,Preserve / strengthen neutrality,Other Neutrality Debate,"Irish neutrality should be put to a public vote, say Sinn Fein"
Triple Lock and UN mandate debate,0,51,38.74,4785276,-0.49,0.115,Preserve / strengthen neutrality,Other Neutrality Debate,Galway Talks - Neutrality
Shannon Airport and US military use,2,44,33.05,7390497,-0.793,0.17,Preserve / strengthen neutrality,Shannon / US Military / Anti-war,Neutrality campaigner (91) in Nenagh | Nenagh Guardian
General neutrality debate,6,38,27.44,2421944,0.541,0.0,Move away / stronger alignment,Defence Capability / Underinvestment,Marine Notice: Inshore Geophysical and Geotechnical Survey in Galway Bay
General neutrality debate #2,8,23,19.25,3449292,-0.07,0.213,Mixed / procedural / unclear,Ukraine / Russia / Moral Responsibility,Tom MacSweeney column: Recognition for those who saved German sub crew
Sinn Féin and government neutrality clash — Ukraine/political angle,4,25,18.81,1958254,-0.005,-0.144,Mixed / procedural / unclear,Ukraine / Russia / Moral Responsibility,O'Brien defends carbon tax from Sinn Féin attacks
Shannon Airport and US military use #2,9,12,10.39,3171862,-0.478,0.192,Preserve / strengthen neutrality,Shannon / US Military / Anti-war,Hundreds take part in ‘No to War and Genocide’ Demonstration
Shannon Airport and US military use — international angle,1,12,9.36,872080,-0.718,-0.054,Preserve / strengthen neutrality,Shannon / US Military / Anti-war,Political fallout ongoing after Healy-Rae resignation
